exception_id,rule_id,record_id,sensor_id,parameter,unit,station_group,event_date,value_num,failure_reason,severity
EX000130,DQ006,3130,12234784,no2,ppb,current_2025,2025-02-20 06:30:00+00:00,22.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000131,DQ006,3131,12234784,no2,ppb,current_2025,2025-02-20 06:45:00+00:00,24.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000132,DQ006,3132,12234784,no2,ppb,current_2025,2025-02-20 07:00:00+00:00,22.3,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000133,DQ006,3133,12234784,no2,ppb,current_2025,2025-02-20 07:15:00+00:00,21.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000134,DQ006,3134,12234784,no2,ppb,current_2025,2025-02-20 07:30:00+00:00,22.4,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000135,DQ006,3135,12234784,no2,ppb,current_2025,2025-02-20 07:45:00+00:00,25.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000136,DQ006,3136,12234784,no2,ppb,current_2025,2025-02-20 08:00:00+00:00,24.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000137,DQ006,3137,12234784,no2,ppb,current_2025,2025-02-20 08:15:00+00:00,27.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000138,DQ006,3138,12234784,no2,ppb,current_2025,2025-02-20 08:30:00+00:00,22.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000139,DQ006,3139,12234784,no2,ppb,current_2025,2025-02-20 08:45:00+00:00,24,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000140,DQ006,3140,12234784,no2,ppb,current_2025,2025-02-20 09:00:00+00:00,16.9,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000141,DQ006,3141,12234784,no2,ppb,current_2025,2025-02-20 09:15:00+00:00,24.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000142,DQ006,3142,12234784,no2,ppb,current_2025,2025-02-20 09:30:00+00:00,21.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000143,DQ006,3143,12234784,no2,ppb,current_2025,2025-02-20 09:45:00+00:00,17,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000144,DQ006,3144,12234784,no2,ppb,current_2025,2025-02-20 10:00:00+00:00,24.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000145,DQ006,3145,12234784,no2,ppb,current_2025,2025-02-20 10:15:00+00:00,18.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
